Timestamp,Air extérieur,Température dissipateur,
2025-03-28 13:24:57,20,-14,
2025-03-28 13:24:58,19,-16,
2025-03-28 13:24:59,19,-16,
2025-03-28 13:25:00,19,-14,
2025-03-28 13:25:01,19,-14,
2025-03-28 13:25:02,19,-14,
2025-03-28 13:25:03,19,-15,
2025-03-28 13:25:04,19,-15,
2025-03-28 13:25:05,19,-14,
2025-03-28 13:25:06,19,-14,
2025-03-28 13:25:07,19,-15,
2025-03-28 13:25:08,19,-14,
2025-03-28 13:25:09,19,-15,
2025-03-28 13:25:10,19,-14,
2025-03-28 13:25:11,19,-15,
2025-03-28 13:25:12,20,-14,
2025-03-28 13:25:13,19,-15,
2025-03-28 13:25:14,19,-14,
2025-03-28 13:25:15,19,-14,
2025-03-28 13:25:16,20,-14,
2025-03-28 13:25:17,19,-14,
2025-03-28 13:25:18,19,-19,
2025-03-28 13:25:19,19,-14,
2025-03-28 13:25:20,19,-15,
2025-03-28 13:25:21,20,-14,
2025-03-28 13:25:22,19,-15,
2025-03-28 13:25:23,19,-14,
2025-03-28 13:25:24,19,-15,
2025-03-28 13:25:25,19,-14,
2025-03-28 13:25:26,19,-17,
2025-03-28 13:25:28,19,-14,
2025-03-28 13:25:29,19,-14,
2025-03-28 13:25:30,19,-14,
2025-03-28 13:25:31,19,-14,
2025-03-28 13:25:32,20,-15,
2025-03-28 13:25:33,19,-14,
2025-03-28 13:25:34,19,-17,
2025-03-28 13:25:35,19,-14,
2025-03-28 13:25:36,19,-14,
2025-03-28 13:25:37,20,-14,
2025-03-28 13:25:38,19,-15,
2025-03-28 13:25:39,19,-15,
2025-03-28 13:25:40,19,-16,
2025-03-28 13:25:41,19,-17,
2025-03-28 13:25:42,19,-14,
2025-03-28 13:25:43,19,-15,
2025-03-28 13:25:44,19,-15,
2025-03-28 13:25:45,19,-14,
2025-03-28 13:25:46,19,-14,
2025-03-28 13:25:47,20,-19,
2025-03-28 13:25:48,19,-15,
2025-03-28 13:25:49,19,-14,
2025-03-28 13:25:50,19,-14,
2025-03-28 13:25:51,20,-15,
2025-03-28 13:25:52,19,-14,
2025-03-28 13:25:53,19,-15,
2025-03-28 13:25:54,19,-14,
2025-03-28 13:25:55,19,-15,
2025-03-28 13:25:56,19,-14,
2025-03-28 13:25:57,19,-14,
2025-03-28 13:25:58,19,-14,
2025-03-28 13:25:59,20,-15,
2025-03-28 13:26:00,19,-15,
2025-03-28 13:26:01,19,-14,
2025-03-28 13:26:02,20,-14,
2025-03-28 13:26:03,19,-14,
2025-03-28 13:26:04,19,-14,
2025-03-28 13:26:06,20,-15,
2025-03-28 13:26:07,20,-14,
2025-03-28 13:26:08,19,-14,
2025-03-28 13:26:09,19,-16,
2025-03-28 13:26:10,19,-12,
2025-03-28 13:26:11,20,-15,
2025-03-28 13:26:12,20,-14,
2025-03-28 13:26:13,20,-14,
2025-03-28 13:26:14,19,-16,
2025-03-28 13:26:15,20,-14,
